reviewerID,asin
3376,1397
915,1568
460,322
3688,241
1597,1349
1722,548
958,458
3094,9
3562,300
3769,1436
425,159
1111,736
2053,873
3138,456
2817,736
277,767
2820,1218
2213,515
3312,457
1361,1111
366,1291
1517,1218
2038,767
922,517
3039,598
75,255
598,1242
2660,776
504,767
1387,1133
3787,415
2375,913
1199,1202
368,1133
1326,1133
3276,428
1065,1217
2322,1283
1723,1128
3114,950
3375,1574
2235,1216
3778,511
1896,544
3090,441
2112,1218
1798,546
950,832
362,1133
941,1386
3752,543
2213,966
1430,0
3082,832
949,767
309,296
2115,753
1849,1441
1894,687
1430,1480
262,1218
779,136
438,517
856,974
2809,1208
3215,629
1326,1133
2414,136
1501,819
656,1348
1845,1452
494,876
3449,1250
463,1057
3317,650
3588,20
2134,1141
294,38
2516,864
925,610
2233,1207
620,893
3102,96
3486,832
720,308
2616,741
475,145
677,494
834,562
3580,1441
3605,574
1529,767
2644,1459
1872,145
908,1459
298,1385
2236,194
2122,1243
1385,1418
1626,972
1697,845
25,138
2875,679
1361,1508
2343,1524
917,1284
3757,713
111,173
1841,821
2668,1287
3699,767
3119,458
3099,767
2965,413
574,1459
1829,339
1013,1218
1482,1332
1513,629
1327,603
2393,1029
3072,1004
2387,255
1944,767
1798,1147
2903,1398
3404,255
2,1285
834,912
1354,458
2934,343
1270,173
1361,5
1447,762
2392,858
2027,1576
2357,953
1047,228
3705,386
874,145
1110,1133
677,1459
3790,531
3418,338
2503,569
361,380
381,527
1605,380
3199,104
2938,145
3039,1369
1100,767
729,402
1916,1043
3448,1459
1461,275
2551,1439
3211,629
2165,73
1638,1446
904,1499
1344,494
2085,164
1688,1026
833,930
3367,621
1031,1040
3435,1339
81,1356
1645,627
2348,1217
2974,1512
3545,1287
2594,1133
3364,819
1169,56
3255,1059
2301,1202
626,539
904,402
3765,966
3779,854
3458,1218
9,1084
1368,580
2650,1133
2125,101
1777,692
788,767
994,124
3172,655
2288,420
2463,142
79,657
2890,1447
604,329
1146,1218
1522,1218
1965,50
589,1043
3586,1237
723,934
2647,657
806,159
2326,1168
3571,1372
1068,1453
1002,1137
2179,184
169,1387
934,1473
1931,1459
3754,1552
2694,809
2992,993
600,1396
2992,583
2726,970
834,1509
2695,883
3562,442
1591,893
2102,1287
56,457
1111,806
232,1359
3518,140
1178,255
1809,640
1033,1351
1603,468
553,257
3235,5
2034,517
3627,1202
1949,1287
3116,1186
2539,1000
1012,1515
1134,461
452,1530
1862,380
2006,1575
254,323
3167,876
1628,1371
3214,441
130,629
1346,1170
2640,26
413,108
91,1335
3373,1435
376,462
1798,205
1916,179
3158,745
2507,767
3318,1036
3183,1036
2594,1133
1072,1051
799,1521
1038,367
3306,649
3773,373
1405,991
3504,1294
573,813
2594,1133
329,1434
536,1253
1110,1133
169,285
3024,1003
2948,974
3341,170
2015,1084
2482,771
1405,423
2844,435
809,7
1516,471
3021,614
1785,237
2255,859
1843,951
2259,1240
467,353
3639,1574
3245,1017
1799,351
1391,736
997,1355
823,1324
2592,40
121,1459
1944,1478
1676,543
1038,473
1664,1044
250,1084
970,592
3203,490
2178,289
2992,487
1703,571
2933,672
2070,350
110,159
2611,1454
1762,819
1142,371
973,1287
1501,819
2926,1396
914,516
2644,145
1516,517
870,1044
108,679
840,607
3507,915
629,82
1431,1559
2707,315
1113,598
327,875
269,194
177,1096
3553,145
1344,255
2217,380
2138,736
2010,553
70,1459
3470,629
745,1560
3808,485
2762,822
1801,817
355,1053
1309,61
3356,497
347,1280
2486,629
3408,380
606,1337
1831,892
2516,363
790,819
463,822
324,1495
210,458
3434,308
2947,1287
806,1459
2831,655
1645,1447
394,1233
3522,1087
1033,121
608,834
3643,397
3720,884
1405,562
1694,1334
1906,1355
1899,1008
3077,858
2516,1307
398,239
2316,380
3538,67
2288,249
2432,1287
3395,151
374,292
2849,786
2462,1038
2072,1472
1823,517
1259,888
494,495
794,901
1110,1133
270,871
1965,1229
2753,67
2701,681
1910,640
2910,1027
2034,349
42,677
1997,1569
805,1473
820,496
1874,189
1073,118
2775,635
439,576
3381,858
2029,28
1540,767
3354,494
627,316
835,756
1195,1072
2588,450
2349,598
3574,159
3029,4
2961,265
495,1251
418,441
1227,145
1948,255
3187,190
2252,858
982,380
2141,255
3608,1218
362,1133
1547,1463
3276,74
1687,1343
1776,227
2325,834
1664,774
793,494
186,767
2005,458
1083,522
1226,1459
1292,190
2211,1336
267,1216
650,195
1326,1133
3144,341
2378,108
362,1133
2578,709
3428,858
1023,633
1724,893
835,637
3618,28
1986,1116
1230,1036
488,186
1696,629
3025,598
1229,1090
24,635
3416,1287
2554,767
2824,975
3790,543
1654,91
3738,950
1688,1071
1046,26
2934,580
3298,1418
3499,1038
1494,1459
2695,660
597,670
30,11
1748,1275
2444,1459
2313,480
3545,1228
620,588
1499,1487
3146,145
3440,159
696,517
2513,675
983,1031
2663,1287
1127,415
904,747
1830,720
1131,1218
889,1168
13,1090
2095,1143
2506,89
3313,1338
3378,494
1684,1392
2210,441
2159,686
1189,767
3461,458
352,441
3160,441
138,469
2594,1133
589,715
2532,1336
1162,1287
2634,1454
2393,792
2237,1459
639,461
516,1287
2188,457
2126,1396
578,545
2102,1274
43,598
3225,138
1291,61
2675,543
1965,991
1057,1133
1334,1396
1044,1218
3656,786
966,1218
245,543
256,752
2361,1449
1222,1217
986,1338
2301,698
1623,1229
2632,844
57,626
3810,753
955,776
2711,1287
2114,36
2515,610
1326,1133
2489,761
1546,100
3711,494
1820,521
1285,858
3124,736
573,634
592,1131
2866,159
1682,1188
306,1036
461,1074
2533,598
307,1418
3536,1513
3165,29
213,1064
1405,1036
3206,1
236,1163
3127,1178
2359,160
3180,945
463,736
3460,747
3447,435
312,1459
1998,190
2867,219
854,563
2650,1133
3233,1152
874,255
2301,1195
3167,1350
650,239
2743,1093
3058,548
1128,932
1761,458
2683,629
3290,838
2858,1547
424,736
600,1235
150,166
2410,704
1078,543
3299,1400
108,789
907,1403
2531,1005
569,494
3188,953
2412,892
1280,898
1764,574
214,1213
268,281
469,380
2307,1405
967,1427
1564,819
2413,380
820,405
2296,90
3021,263
1740,1132
3567,1442
3271,444
1214,1244
1033,292
1199,441
1629,1088
